study,study_id,cohort,group,measure,units,n,timepoint,timepoint_mean,timepoint_median,timepoint_range,timepoint_iqr,timepoint_sd,n_timepoints,inj_mean,inj_sd,inj_med,inj_iqr,inj_range,noninj_mean,noninj_sd,noninj_med,noninj_iqr,noninj_range,lsi_mean,lsi_sd,lsi_med,lsi_iqr,lsi_range,notes
Vermesan 2014,#7495,Vermesan 2014,Medial,triple hop,lsi,23,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.45,9.42,NA,NA,NA,NA
Vermesan 2014,#7495,Vermesan 2014,Lateral,triple hop,lsi,48,1,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,10.45,NA,NA,NA,NA
Ahlden 2013,#3575,Ahlden 2013,SB,single hop,lsi,45,1,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,47.003691698103225,97,NA,0-207,LSI MD 97 Range 0-207
Ahlden 2013,#3575,Ahlden 2013,SB,square hop,lsi,41,1,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,28.862060583065226,97,NA,31-156,LSI MD 97 Range 31-156
Ahlden 2013,#3575,Ahlden 2013,DB,single hop,lsi,46,1,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,25.78598588361303,95,NA,0-114,LSI MD 95 Range 0-114
Ahlden 2013,#3575,Ahlden 2013,DB,square hop,lsi,40,1,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,16.931703477950506,99,NA,57-130,LSI MD 99 Range 57-130
Ericsson 2013,#1905,Ericsson 2013,Exercise alone,single hop,cm,42,1,37,37,NA,24,5.52,1,148,33.773779775473805,148,44,NA,NA,NA,NA,NA,NA,100,5.373101327916287,100,7,NA,Injured MD 148 IQR 44; LSI MD 100 IQR 7
Ericsson 2013,#1905,Ericsson 2013,Exercise alone,square hop,reps,42,1,37,37,NA,24,5.52,1,35,6.908273135892369,35,9,NA,NA,NA,NA,NA,NA,100,9.211030847856492,100,12,NA,"Injured MD 35 IQR 9, LSI MD 100 IQR 12"
Ericsson 2013,#1905,Ericsson 2013,Exercise alone,vertical hop,cm,42,1,37,37,NA,24,5.52,1,24,9.211030847856492,24,12,NA,NA,NA,NA,NA,NA,98.8,9.211030847856492,98.8,12,NA,Injured MD 24 IQR 12; LSI MD 98.8 IQR 12
Ericsson 2013,#1905,Ericsson 2013,Exercise alone,one leg rise height,cn,42,1,37,37,NA,24,5.52,1,85,15.35171807976082,85,20,NA,NA,NA,NA,NA,NA,100,0,100,0,NA,Injured MD 85 IQR 20; LSI MD 100 IQR 0
Ericsson 2013,#1905,Ericsson 2013,Exercise + ACLR,single hop,cm,45,1,37,37,NA,24,5.52,1,152,30.631937005248126,152,40,NA,NA,NA,NA,NA,NA,99.3,5.360588975918422,99.3,7,NA,Injured MD 152 IQR 40; LSI MD 99.3 IQR 7
Ericsson 2013,#1905,Ericsson 2013,Exercise + ACLR,square hop,reps,45,1,37,37,NA,24,5.52,1,36.5,9.189581101574438,36.5,12,NA,NA,NA,NA,NA,NA,104.4,6.892185826180828,104.4,9,NA,Injured MD 36.5 IQR 12; LSI MD 104.4 IQR 9
Ericsson 2013,#1905,Ericsson 2013,Exercise + ACLR,vertical hop,cm,45,1,37,37,NA,24,5.52,1,28,12.252774802099252,28,16,NA,NA,NA,NA,NA,NA,93.3,16.081766927755268,93.3,21,NA,Injured MD 28 IQR 16; LSI MD 93.3 IQR 21
Ericsson 2013,#1905,Ericsson 2013,Exercise + ACLR,one leg rise height,cn,45,1,37,37,NA,24,5.52,1,84.5,15.315968502624063,84.5,20,NA,NA,NA,NA,NA,NA,100,3.063193700524813,100,4,NA,Injured MD 84.5 IQR 20; LSI MD 100 IQR 4
Fleming 2013,#1253,Fleming 2013,Low tension,single hop,lsi,46,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,3.67,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Low tension,single hop,lsi,46,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,4.96,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Low tension,single hop,lsi,46,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,4.2,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Low tension,quad isk con 60,lsi,46,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,5.6,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Low tension,quad isk con 60,lsi,46,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,5.1,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,High tension,single hop,lsi,44,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,3.82,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,High tension,single hop,lsi,44,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,4.04,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,High tension,single hop,lsi,44,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,4.27,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,High tension,quad isk con 60,lsi,44,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,5.7,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,High tension,quad isk con 60,lsi,44,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,5.3,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Healthy Control,single hop,lsi,60,1,0.1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8,3.18,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Healthy Control,single hop,lsi,60,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,3.51,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Healthy Control,single hop,lsi,60,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.7,3.98,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Healthy Control,quad isk con 60,lsi,60,2,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,3.3,NA,NA,NA,NA
Fleming 2013,#1253,Fleming 2013,Healthy Control,quad isk con 60,lsi,60,3,36,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,8.9,NA,NA,NA,NA
Gifstad 2013,#889,Gifstad 2013,Primary ACLR,quad isk con 60,lsi,52,1,93,93,38-159,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,15,NA,NA,NA,NA
Gifstad 2013,#889,Gifstad 2013,Primary ACLR,hs isk con 60,lsi,52,1,93,93,38-159,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,15,NA,NA,NA,NA
Inagaki 2013,#100,Inagaki 2013,Group I,quad isk con 60,lsi,61,1,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4,15.9,NA,NA,NA,NA
Inagaki 2013,#100,Inagaki 2013,Group I,hs isk con 60,lsi,61,1,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3,17.8,NA,NA,NA,NA
Inagaki 2013,#100,Inagaki 2013,Group II,quad isk con 60,lsi,59,1,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,14.6,NA,NA,NA,NA
Inagaki 2013,#100,Inagaki 2013,Group II,hs isk con 60,lsi,59,1,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,15.1,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,single hop,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,14,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,single hop,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,8,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,triple hop,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,11,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,triple hop,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,6,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,hs isk con 60,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,24,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,hs isk con 60,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,13,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,hs isk con 180,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,19,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,hs isk con 180,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.8,14,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,quad isk con 60,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8,13,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,quad isk con 60,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3,15,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,quad isk con 180,lsi,15,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.3,14,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Anteromedial,quad isk con 180,lsi,15,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,10,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,single hop,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,12,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,single hop,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,11,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,triple hop,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,13,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,triple hop,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,9,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,hs isk con 60,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,15,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,hs isk con 60,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,13,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,hs isk con 180,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,14,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,hs isk con 180,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,10,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,quad isk con 60,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3,15,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,quad isk con 60,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1,18,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,quad isk con 180,lsi,36,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,14,NA,NA,NA,NA
Koutras 2013,#6806,Koutras 2013,Transtibial,quad isk con 180,lsi,36,2,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,13,NA,NA,NA,NA
Kuenze 2013,#6271,Kuenze 2013,Healthy Control,quad mvic 60,nm/kg,26,1,44.7,NA,NA,NA,39.2,1,3.35,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuenze 2013,#6271,Kuenze 2013,ACLR,quad mvic 60,nm/kg,26,1,44.7,NA,NA,NA,39.2,1,2.59,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,quad mvic 90,nm/bmi,83,1,0.1,NA,NA,NA,NA,4,41.73,NA,NA,NA,NA,46.47,NA,NA,NA,NA,90.1,12.46,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,quad mvic 90,nm/bmi,78,2,0.11,NA,NA,NA,NA,4,44.92,NA,NA,NA,NA,48.13,NA,NA,NA,NA,93.9,12.62,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,quad mvic 90,nm/bmi,73,3,6.26,NA,NA,NA,0.76,4,45.27,NA,NA,NA,NA,46.17,NA,NA,NA,NA,97.7,12.47,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,quad mvic 90,nm/bmi,65,4,12.59,NA,NA,NA,1.18,4,46.66,NA,NA,NA,NA,47.33,NA,NA,NA,NA,98.5,12.5,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,single hop,cm,83,1,0.1,NA,NA,NA,NA,4,111.56,NA,NA,NA,NA,128.04,NA,NA,NA,NA,87.2,15.51,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,single hop,cm,78,2,0.11,NA,NA,NA,NA,4,122.97,NA,NA,NA,NA,133.07,NA,NA,NA,NA,93.8,15.84,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,single hop,cm,73,3,6.26,NA,NA,NA,0.76,4,126.62,NA,NA,NA,NA,133.52,NA,NA,NA,NA,94.1,14.54,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,single hop,cm,65,4,12.59,NA,NA,NA,1.18,4,135.79,NA,NA,NA,NA,138.62,NA,NA,NA,NA,97.9,14.97,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple crossover hop,cm,83,1,0.1,NA,NA,NA,NA,4,318.76,NA,NA,NA,NA,353.58,NA,NA,NA,NA,91.2,14.95,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple crossover hop,cm,78,2,0.11,NA,NA,NA,NA,4,368.58,NA,NA,NA,NA,389.96,NA,NA,NA,NA,95.4,14.23,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple crossover hop,cm,73,3,6.26,NA,NA,NA,0.76,4,368.22,NA,NA,NA,NA,383.59,NA,NA,NA,NA,95.9,10.91,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple crossover hop,cm,65,4,12.59,NA,NA,NA,1.18,4,391.88,NA,NA,NA,NA,399.8,NA,NA,NA,NA,97.3,11.27,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple hop,cm,83,1,0.1,NA,NA,NA,NA,4,378.36,NA,NA,NA,NA,433.82,NA,NA,NA,NA,87.01,13.01,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple hop,cm,78,2,0.11,NA,NA,NA,NA,4,417.35,NA,NA,NA,NA,450.18,NA,NA,NA,NA,94,12.35,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple hop,cm,73,3,6.26,NA,NA,NA,0.76,4,424.17,NA,NA,NA,NA,443.47,NA,NA,NA,NA,95.4,9.61,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,triple hop,cm,65,4,12.59,NA,NA,NA,1.18,4,444.96,NA,NA,NA,NA,454.94,NA,NA,NA,NA,97,9.8,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,6m timed hop,secs,83,1,0.1,NA,NA,NA,NA,4,2.72,NA,NA,NA,NA,2.42,NA,NA,NA,NA,91.1,11.08,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,6m timed hop,secs,78,2,0.11,NA,NA,NA,NA,4,2.46,NA,NA,NA,NA,2.37,NA,NA,NA,NA,96.3,11.54,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,6m timed hop,secs,73,3,6.26,NA,NA,NA,0.76,4,2.46,NA,NA,NA,NA,2.36,NA,NA,NA,NA,96.5,10.39,NA,NA,NA,inj/noninj extracted graphically
Logerstedt 2013,#5651,Logerstedt 2013,Group 1,6m timed hop,secs,65,4,12.59,NA,NA,NA,1.18,4,2.29,NA,NA,NA,NA,2.28,NA,NA,NA,NA,98.5,10.54,NA,NA,NA,inj/noninj extracted graphically
Nakayama 2013,#4941,Nakayama 2013,Tourniquet group,quad isk con 60,lsi,28,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.71,16.03,NA,NA,NA,NA
Nakayama 2013,#4941,Nakayama 2013,Tourniquet group,hs isk con 60,lsi,28,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.73,16.02,NA,NA,NA,NA
Nakayama 2013,#4941,Nakayama 2013,No tourniquet group,quad isk con 60,lsi,23,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,12.19,NA,NA,NA,NA
Nakayama 2013,#4941,Nakayama 2013,No tourniquet group,hs isk con 60,lsi,23,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.58,8.01,NA,NA,NA,NA
Noh 2013a,#4787,Noh 2013a,Transtibial,single hop,lsi,30,1,29.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,5.7,NA,NA,NA,NA
Noh 2013a,#4787,Noh 2013a,Transportal,single hop,lsi,31,1,30.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,4.8,NA,NA,NA,NA
Noh 2013b,#4785,Noh 2013b,Achilles allograft with calc,single hop,lsi,33,1,30.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,3.4,NA,NA,NA,NA
Noh 2013b,#4785,Noh 2013b,Achilles allograft free,single hop,lsi,34,1,30.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2,3.5,NA,NA,NA,NA
Oiestad 2013,#5116,Aune 2001; Risberg 1999a; Risberg 1999b,Combined,quad isk con 60,PT % BW,181,1,147.6,NA,NA,NA,14.4,1,183.73,49.03,NA,NA,NA,NA,NA,NA,NA,NA,90.21,18.16,NA,NA,NA,NA
Oiestad 2013,#5116,Aune 2001; Risberg 1999a; Risberg 1999b,Combined,triple hop,lsi,181,1,147.6,NA,NA,NA,14.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.47,12.5,NA,NA,NA,NA
Oiestad 2013,#5116,Aune 2001; Risberg 1999a; Risberg 1999b,Combined,stair hop,lsi,181,1,147.6,NA,NA,NA,14.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.8,19.13,NA,NA,NA,NA
Tugcu 2013,#7990,Tugcu 2013,Group 1,hs isk con 60,nm,58,1,2.99,NA,NA,NA,NA,1,101.2,NA,NA,NA,NA,120.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tugcu 2013,#7990,Tugcu 2013,Group 1,hs isk con 180,nm,58,1,2.99,NA,NA,NA,NA,1,75.94,NA,NA,NA,NA,86.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tugcu 2013,#7990,Tugcu 2013,Group 1,quad isk con 60,nm,58,1,2.99,NA,NA,NA,NA,1,126.56,NA,NA,NA,NA,198.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tugcu 2013,#7990,Tugcu 2013,Group 1,quad isk con 180,nm,58,1,2.99,NA,NA,NA,NA,1,89.34,NA,NA,NA,NA,125.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,SB,vertical hop,cm,40,1,0.1,NA,NA,NA,NA,4,9.1,4.5,NA,NA,NA,12.1,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,SB,vertical hop,cm,40,2,6,NA,NA,NA,NA,4,7.6,4.1,NA,NA,NA,11.4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,SB,vertical hop,cm,40,3,12,NA,NA,NA,NA,4,10.6,5.3,NA,NA,NA,12.4,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,SB,vertical hop,cm,40,4,24,NA,NA,NA,NA,4,11.6,5,NA,NA,NA,12.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,DB,vertical hop,cm,40,1,0.1,NA,NA,NA,NA,4,9.2,4.4,NA,NA,NA,12.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,DB,vertical hop,cm,40,2,6,NA,NA,NA,NA,4,8.2,4.2,NA,NA,NA,11.2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,DB,vertical hop,cm,40,3,12,NA,NA,NA,NA,4,11.1,4.2,NA,NA,NA,12,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventura 2013,#7506,Ventura 2013,DB,vertical hop,cm,40,4,24,NA,NA,NA,NA,4,12.1,5.6,NA,NA,NA,12.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,SB,quad isk con 60,lsi,79,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8,15.2,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,SB,quad isk con 60,lsi,79,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.7,16.5,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,SB,quad isk con 60,lsi,79,3,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,18.2,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,DB,quad isk con 60,lsi,56,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.4,14.6,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,DB,quad isk con 60,lsi,56,2,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8,17.5,NA,NA,NA,NA
Iriuchishima 2012,#58,Iriuchishima 2012,DB,quad isk con 60,lsi,56,3,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.2,20.1,NA,NA,NA,NA
Jiang 2012,#377,Jiang 2012,Double Bundle Group,quad isk con 60,lsi,22,1,47.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8,29.938060242962532,NA,NA,38.6-152.9,LSI Range 38.6 to 152.9
Jiang 2012,#377,Jiang 2012,Double Bundle Group,quad isk con 120,lsi,22,1,47.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.6,25.19721255794397,NA,NA,41.6-137.8,LSI Range 41.6 to 137.8
Jiang 2012,#377,Jiang 2012,Double Bundle Group,hs isk con 60,lsi,22,1,47.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9,21.68741371931144,NA,NA,45.6-128.4,LSI Range 45.6 to 128.4
Jiang 2012,#377,Jiang 2012,Double Bundle Group,hs isk con 120,lsi,22,1,47.3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,20.587327516157956,NA,NA,45.5-124.1,LSI Range 45.5 to 124.1
Jiang 2012,#377,Jiang 2012,Single Bundle Group,quad isk con 60,lsi,24,1,58.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7,26.846976403955733,NA,NA,44.0-148.5,LSI Range 44.0 to 148.5
Jiang 2012,#377,Jiang 2012,Single Bundle Group,quad isk con 120,lsi,27,1,58.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8,19.28955647230018,NA,NA,38-115,LSI Range 38 to 115
Jiang 2012,#377,Jiang 2012,Single Bundle Group,hs isk con 60,lsi,24,1,58.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,20.55270920876994,NA,NA,51-131,LSI Range 51 to 131
Jiang 2012,#377,Jiang 2012,Single Bundle Group,hs isk con 120,lsi,24,1,58.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.8,42.90378047330724,NA,NA,61-228,LSI Range 61 to 228
Kawahara 2012,#6690,Kawahara 2012,ACLD - No genu recurvatum,quad isk con 60,nm/kg,18,1,16.2,NA,NA,NA,NA,1,151.5,54,NA,NA,NA,170.8,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kawahara 2012,#6690,Kawahara 2012,ACLD - No genu recurvatum,hs isk con 60,nm/kg,18,1,16.2,NA,NA,NA,NA,1,67.7,30.9,NA,NA,NA,75.2,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kawahara 2012,#6690,Kawahara 2012,ACLD - No genu recurvatum,quad isk con 180,nm/kg,18,1,16.2,NA,NA,NA,NA,1,110,33.5,NA,NA,NA,118.4,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
